id,level,vip_point,is_new,head,head_key,headframe_id,effect,switch,switch_key,vip_exchange,daily_pop_star_item_num,points_rules,vip_Free,vip_free_icon
int,int,int,int,string,string,int,string,string,string,int,int,int,int,string
1,1,6,0,,,,920900|300;960002|350;970002|350,,,16001,9,0,916479,box_EliteScoreShop1_1|box_EliteScoreShop1_2|box_EliteScoreShop1_3
2,2,30,0,image/mainui/headBg1.png,Jr. VIP Frame,1,920900|600;960002|700;970002|700;970001|300,,,16002,45,6,916480,box_EliteScoreShop1_1|box_EliteScoreShop1_2|box_EliteScoreShop1_3
3,3,100,0,image/mainui/headBg1.png,Jr. VIP Frame,1,920900|900;960002|1200;970002|1200;970001|400;970004|5;970008|2,,,16003,99,6,916481,box_EliteScoreShop1_1|box_EliteScoreShop1_2|box_EliteScoreShop1_3
4,4,300,0,image/mainui/headBg1.png,Jr. VIP Frame,1,920900|1200;960002|1600;970002|1600;970001|500;970004|7;970008|2;970005|20;970003|300,,,16004,520,6,916482,box_EliteScoreShop1_1|box_EliteScoreShop1_2|box_EliteScoreShop1_3
5,5,500,0,image/mainui/headBg1.png,Jr. VIP Frame,1,920900|1500;960002|2000;970002|2000;970001|600;970004|9;970008|3;970005|30;970003|700;910300|500,,,16005,999,10,916483,box_EliteScoreShop2_1|box_EliteScoreShop2_2|box_EliteScoreShop2_3
6,6,1000,0,image/mainui/headBg2.png,Int. VIP Frame,2,920900|1800;960002|2400;970002|2400;970001|700;970004|11;970008|3;970005|40;970003|1100;910300|1000;920800|200;921002|200,,,16006,1314,15,916484,box_EliteScoreShop2_1|box_EliteScoreShop2_2|box_EliteScoreShop2_3
7,7,3000,0,image/mainui/headBg2.png,Int. VIP Frame,2,920900|2100;960002|2800;970002|2800;970001|800;970004|13;970008|4;970005|50;970003|1500;910300|1500;920800|400;921002|400;1201004|100,,,16007,-1,20,916485,box_EliteScoreShop3_1|box_EliteScoreShop3_2|box_EliteScoreShop3_3
8,8,6000,0,image/mainui/headBg2.png,Int. VIP Frame,2,920900|2400;960002|3200;970002|3200;970001|1000;970004|15;970008|4;970005|70;970003|1900;910300|2000;920800|600;921002|600;1201004|100;1003001|500,,,16008,-1,50,916486,box_EliteScoreShop3_1|box_EliteScoreShop3_2|box_EliteScoreShop3_3
9,9,10000,0,image/mainui/headBg2.png,Int. VIP Frame,2,920900|2700;960002|3600;970002|3600;970001|1250;970004|17;970008|5;970005|90;970003|2300;910300|2500;920800|800;921002|800;1201004|100;1003001|600;1101059|1,,,16009,-1,100,916487,box_EliteScoreShop3_1|box_EliteScoreShop3_2|box_EliteScoreShop3_3
10,10,30000,0,image/mainui/headBg3.png,Prem VIP Frame,3,920900|3000;960002|4000;970002|4000;970001|1500;970004|20;970008|5;970005|110;970003|2700;910300|3000;920800|1000;921002|1000;1201004|200;1003001|700;1101059|2;1131006|2,,,16010,-1,200,916488,box_EliteScoreShop4_1|box_EliteScoreShop4_2|box_EliteScoreShop4_3
11,11,50000,0,image/mainui/headBg3.png,Prem VIP Frame,3,920900|3300;960002|4500;970002|4500;970001|1750;970004|25;970008|6;970005|130;970003|3100;910300|3500;920800|1200;921002|1200;1201004|200;1003001|800;1101059|2;1131006|2,,,16011,-1,300,916489,box_EliteScoreShop4_1|box_EliteScoreShop4_2|box_EliteScoreShop4_3
12,12,80000,0,image/mainui/headBg3.png,Prem VIP Frame,3,920900|3600;960002|5000;970002|5000;970001|2000;970004|30;970008|6;970005|150;970003|3500;910300|4000;920800|1500;921002|1500;1201004|200;1003001|900;1101059|3;1131006|3;960012|1,,,16012,-1,400,916490,box_EliteScoreShop4_1|box_EliteScoreShop4_2|box_EliteScoreShop4_3
13,13,120000,1,image/mainui/headBg3.png,Prem VIP Frame,3,920900|3900;960002|5500;970002|5500;970001|2000;970004|40;970008|7;970005|190;970003|3500;910300|4000;920800|1500;921002|1500;1201004|300;1003001|1000;1101059|3;1131006|3;960012|1;1201005|500,,,16012,-1,600,916491,box_EliteScoreShop5_1|box_EliteScoreShop5_2|box_EliteScoreShop5_3
14,14,160000,1,image/mainui/headBg3.png,Prem VIP Frame,3,920900|3900;960002|5500;970002|5500;970001|2250;970004|40;970008|8;970005|190;970003|4300;910300|4500;920800|1800;921002|1800;1201004|300;1003001|1200;1101059|4;1131006|4;960012|2;1201005|500,,,16012,-1,800,916492,box_EliteScoreShop5_1|box_EliteScoreShop5_2|box_EliteScoreShop5_3
15,15,200000,1,image/mainui/headBg3.png,Prem VIP Frame,3,920900|4200;960002|6000;970002|6000;970001|2250;970004|40;970008|9;970005|190;970003|4300;910300|5000;920800|1800;921002|1800;1201004|300;1003001|1300;1101059|4;1131006|4;960012|2;1201005|1000,,,16012,-1,1000,916493,box_EliteScoreShop5_1|box_EliteScoreShop5_2|box_EliteScoreShop5_3
16,16,300000,1,image/mainui/headBg3.png,Prem VIP Frame,3,920900|4500;960002|6500;970002|6500;970001|2500;970004|45;970008|10;970005|210;970003|5000;910300|5000;920800|2100;921002|2100;1201004|400;1003001|1500;1101059|5;1131006|5;960012|3;1201005|1500;1001001|500,,,16012,-1,1500,916494,box_EliteScoreShop5_1|box_EliteScoreShop5_2|box_EliteScoreShop5_3
