id,lang_name,customer_service_id,vip_exp_show,head_icon,nick_name,pf
int,string,string,int,string,string,string
1,en,15213,30000,15213,15213,
2,de,15213,30000,15213,15213,
3,jp,15213,30000,15213,15213,
4,ko,15213,30000,15213,15213,
5,ru,15213,30000,15213,15213,
6,fr,15213,30000,15213,15213,
7,ar,15213,30000,15213,15213,
8,zh_cn,15213,30000,15213,15213,
9,zh_tw,15213,30000,15213,15213,
10,es,15213,30000,15213,15213,
11,it,15213,30000,15213,15213,
12,pt,15213,30000,15213,15213,
13,tr,15213,30000,15213,15213,
14,pl,15213,30000,15213,15213,
15,id,15213,30000,15213,15213,
16,ui,15213,30000,15213,15213,
17,th,15213,30000,15213,15213,
18,vi,15213,30000,15213,15213,
19,fa,15213,30000,15213,15213,
