id,item_id,need_vip_level,price_shop,off,refresh_type,buy_limit,is_open,cost_reson,exhibition,icon_desc,group,serverId
int,int,int,int,int,int,int,int,string,int,string,int,string
90301,2400004,3,15,5,1,9999,1,,,,1,
90302,500000,3,2,6,1,9999,1,,,,1,
90401,520002,4,37,5,1,9999,1,,,,1,
90402,1700011,4,25,5,1,9999,1,,,,1,
90501,910003,5,75,5,1,9999,1,,,,1,
90502,920003,5,75,5,1,9999,1,,,,1,
90601,200003,6,75,5,1,9999,1,,,,1,
90602,500001,6,15,5,1,9999,1,,,,1,
90701,500002,7,75,5,1,9999,1,,,,1,
90702,200006,7,100,5,1,9999,1,,,,1,
90801,910001,8,500,5,1,9999,1,,,,1,
90802,920001,8,500,5,1,9999,1,,,,1,
90901,1900003,9,250,5,1,9999,1,,,,1,
90902,2400005,9,45,5,1,9999,1,,,,1,
90403,1700030,4,25,5,1,9999,1,,,,1,
70101,1700013,1,0,1,2,5,1,,1,MUST\nHAVE,2,
70102,200003,1,75,5,2,9999,1,,,,2,
70103,1700011,1,20,5,2,100,1,,,,2,
70201,600002,2,100,5,2,5,1,,1,MUST\nHAVE,2,
70202,520002,2,37,5,2,9999,1,,,,2,
70203,500002,2,75,5,2,9999,1,,,,2,
70401,2300003,4,200,5,2,3,1,,1,OFFER,2,
70402,2100005,4,320,8,2,30,1,,,,2,
70403,2400005,4,45,5,2,9999,1,,,,2,1-4020
70404,2400005,4,45,5,2,20,0,,,,2,4021;4090
70601,2800000,6,40,5,2,100,1,,1,OFFER,2,
70602,200006,6,100,5,2,30,1,,,,2,
70603,550003,6,190,8,2,20,1,,,,2,
70801,2300003,8,160,4,2,3,1,,1,MUST\nHAVE,2,
70802,920001,8,60,3,2,100,1,,,OFFER,2,
70803,910001,8,60,3,2,100,1,,,OFFER,2,
71001,39200167,10,1400,7,2,3,1,,1,OFFER,2,
71002,20213231,10,30,5,2,30,1,,,,2,
71004,20210105,10,1200,5,2,2,1,,,,2,
71201,1700413,12,400,8,2,20,1,,1,OFFER,2,
71202,940001,12,280,7,2,50,1,,,,2,
71203,5200002,12,300,5,2,100,1,,,,2,
