id,item_id,num,probability,guaranteed,refresh_reward,exhibition,reward_pool
int,int,int,int,int,int,int,int
1,1701234,1,20,6,1,1,1
2,10000068,2,50,6,,,1
3,2200086,2,50,6,,,1
4,2200087,2,100,,,,1
5,2200086,1,100,,,,1
6,2200087,1,100,,,,1
7,211012,1,100,,,,1
8,20201045,3,100,,,,1
9,1700013,2,100,,,,1
10,2100002,1,100,,,,1
11,3300001,10,100,,,,1
12,2400004,5,100,,,,1
13,1701234,1,20,6,1,1,2
14,10000068,2,50,6,,,2
15,2611361,2,50,6,,,2
16,2200087,2,100,,,,2
17,2611361,1,100,,,,2
18,2200087,1,100,,,,2
19,5200001,2,100,,,,2
20,2540002,2,100,,,,2
21,1700013,2,100,,,,2
22,2100002,1,100,,,,2
23,920005,8,100,,,,2
24,910005,8,100,,,,2
25,1701234,1,20,6,1,1,3
26,10000068,2,50,6,,,3
27,2200086,2,50,6,,,3
28,2200087,2,100,,,,3
29,2200086,1,100,,,,3
30,2200087,1,100,,,,3
31,211012,1,100,,,,3
32,20201045,3,100,,,,3
33,1700013,2,100,,,,3
34,2100002,1,100,,,,3
35,3300001,10,100,,,,3
36,2400004,5,100,,,,3
37,2611363,1,20,6,1,1,4
38,1700015,1,50,6,,,4
39,2200086,3,50,6,,,4
40,5200001,1,100,,,,4
41,2611361,1,100,,,,4
42,2200087,2,100,,,,4
43,211012,1,100,,,,4
44,2540002,2,100,,,,4
45,1700013,2,100,,,,4
46,2100002,1,100,,,,4
47,3300001,10,100,,,,4
48,2400004,5,100,,,,4
