id,type,reward,rate,fake_random
int,int,string,int,int
1,1,9003201,100,7
2,1,9003202,100,5
3,1,9003203,100,0
4,1,9003204,100,3
5,1,9003205,100,0
6,1,9003206,100,0
7,1,9003207,100,0
8,1,9003208,100,0
9,1,9003209,100,3
10,1,9003210,100,3
11,2,9111801,100,5
12,2,9111802,100,0
13,2,9111803,100,0
14,2,9111804,100,0
15,2,9111805,100,0
16,2,9111806,100,2
17,2,9111807,100,0
18,2,9111808,100,0
19,2,9111801,100,15
20,2,9111802,100,5
21,2,9111803,100,0
22,2,9111804,100,0
23,2,9111805,100,0
24,2,9111806,100,6
25,2,9111807,100,0
26,2,9111808,100,0
27,2,9111801,100,25
28,2,9111802,100,15
29,2,9111803,100,0
30,2,9111804,100,0
31,2,9111805,100,0
32,2,9111806,100,10
33,2,9111807,100,0
34,2,9111808,100,0
35,2,9111802,100,25
36,2,9111803,100,0
37,2,9111804,100,0
38,2,9111808,100,0
39,2,9111805,100,0
40,2,9111806,100,10
41,2,9111807,100,0
42,2,9111808,100,0
43,2,9111802,100,30
44,2,9111803,100,0
45,2,9111804,100,0
46,2,9111808,100,0
47,2,9111805,100,0
48,2,9111806,100,15
49,2,9111807,100,0
50,2,9111808,100,0
51,2,9111803,100,0
52,2,9111804,100,0
53,2,9111808,100,0
54,2,9111805,100,0
55,2,9111807,100,0
56,2,9111808,100,0
57,2,9111803,100,0
58,2,9111804,100,0
59,2,9111808,100,0
60,2,9111805,100,0
61,2,9111807,100,0
62,2,9111808,100,0
63,2,9111803,100,0
64,2,9111804,100,0
65,2,9111808,100,0
66,2,9111805,100,0
67,2,9111807,100,0
68,2,9111808,100,0
69,2,9111803,100,0
70,2,9111804,100,0
71,2,9111808,100,0
72,2,9111805,100,0
73,2,9111807,100,0
74,2,9111808,100,0
75,2,9111804,100,0
76,2,9111808,100,0
77,2,9111805,100,0
78,2,9111807,100,0
79,2,9111808,100,0
80,2,9111802,100,5
81,3,9008701,100,5
82,3,9008702,100,0
83,3,9008703,100,0
84,3,9008704,100,0
85,3,9008705,100,0
86,3,9008706,100,2
87,3,9008707,100,0
88,3,9008708,100,0
89,3,9008701,100,15
90,3,9008702,100,5
91,3,9008703,100,0
92,3,9008704,100,0
93,3,9008705,100,0
94,3,9008706,100,6
95,3,9008707,100,0
96,3,9008708,100,0
97,3,9008701,100,25
98,3,9008702,100,15
99,3,9008703,100,0
100,3,9008704,100,0
101,3,9008705,100,0
102,3,9008706,100,10
103,3,9008707,100,0
104,3,9008708,100,0
105,3,9008702,100,25
106,3,9008703,100,0
107,3,9008704,100,0
108,3,9008708,100,0
109,3,9008705,100,0
110,3,9008706,100,10
111,3,9008707,100,0
112,3,9008708,100,0
113,3,9008702,100,30
114,3,9008703,100,0
115,3,9008704,100,0
116,3,9008708,100,0
117,3,9008705,100,0
118,3,9008706,100,15
119,3,9008707,100,0
120,3,9008708,100,0
121,3,9008703,100,0
122,3,9008704,100,0
123,3,9008708,100,0
124,3,9008705,100,0
125,3,9008707,100,0
126,3,9008708,100,0
127,3,9008703,100,0
128,3,9008704,100,0
129,3,9008708,100,0
130,3,9008705,100,0
131,3,9008707,100,0
132,3,9008708,100,0
133,3,9008703,100,0
134,3,9008704,100,0
135,3,9008708,100,0
136,3,9008705,100,0
137,3,9008707,100,0
138,3,9008708,100,0
139,3,9008703,100,0
140,3,9008704,100,0
141,3,9008708,100,0
142,3,9008705,100,0
143,3,9008707,100,0
144,3,9008708,100,0
145,3,9008704,100,0
146,3,9008708,100,0
147,3,9008705,100,0
148,3,9008707,100,0
149,3,9008708,100,0
150,3,9008702,100,5
151,4,9012101,100,0
152,4,9012102,100,0
153,4,9012103,100,0
154,4,9012104,100,0
155,4,9012105,100,0
156,4,9012106,100,0
157,4,9012107,100,0
158,4,9012108,100,0
159,4,9012101,100,0
160,4,9012102,100,0
161,4,9012103,100,0
162,4,9012104,100,0
163,4,9012105,100,0
164,4,9012106,100,0
165,4,9012107,100,0
166,4,9012108,100,0
167,4,9012101,100,0
168,4,9012102,100,0
169,4,9012103,100,0
170,4,9012104,100,0
171,4,9012105,100,0
172,4,9012106,100,0
173,4,9012107,100,0
174,4,9012108,100,0
175,4,9012101,100,0
176,4,9012102,100,0
177,4,9012103,100,0
178,4,9012104,100,0
179,4,9012105,100,0
180,4,9012106,100,0
181,4,9012107,100,0
182,4,9012108,100,0
183,4,9012102,100,0
184,4,9012103,100,0
185,4,9012104,100,0
186,4,9012105,100,0
187,4,9012106,100,0
188,4,9012107,100,0
189,4,9012108,100,0
190,4,9012102,100,0
191,4,9012105,100,0
192,4,9012103,100,0
